date,planned_cost,delta_only_emergency_cost,final_soc_kwh,zero_score,selected_score,accepted_search,evaluations
2025-04-14,36795.598510535274,31.623071695225146,1744.6452275925924,294.82035249338793,-636.6826344760934,True,181
2025-04-15,37350.054108875636,0.0,2042.4918906613793,369.98706798986564,-621.2048036264825,True,181
2025-04-16,36782.85582897392,0.0,1851.646462116403,339.21441812556685,-598.6653896072143,True,181
2025-04-17,36847.36568645419,0.0,1944.0782980687804,261.07495665769386,-744.6602976694818,True,181
2025-04-18,14175.692058136292,0.0,2326.0238518518536,-628.5764290050436,-808.2508584031126,True,181
2025-04-19,13634.101512048866,0.0,2078.260402804231,-618.2362963620477,-812.2467838926826,True,181
2025-04-20,36221.5054429184,0.0,2033.676823518518,327.82423890122345,-752.3107924575977,True,181
2025-04-21,36364.502310257754,0.0,1689.361071904762,306.55002031330173,-753.3006631030158,True,181
2025-04-22,35764.0305345509,0.0,1794.6445355820097,197.19130915468097,-730.7867733865376,True,181
2025-04-23,35913.83489260354,0.0,2087.4119026455037,313.37041831834193,-630.9945093385925,True,181
2025-04-24,35136.895687242686,0.0,1864.0375875661389,26.214929884479716,-650.65567155246,True,181
2025-04-25,13119.429837151169,0.0,1701.7839265872992,-626.7015580860524,-817.2939916958742,True,181
2025-04-26,13186.575725814317,0.0,1605.441860555558,-632.2198151143615,-815.1502830958974,True,181
2025-04-27,33374.892668334214,2889.38057036433,1529.3225094444444,-33.82951316007332,-659.9695736970178,True,181
2025-04-28,34254.781615244494,23168.78377644579,1725.719572962963,-34.037945892305935,-581.9793796058748,True,181
2025-04-29,34612.80093015596,1647.4338755717877,1912.5830925925934,935.8840721399968,361.00001011320177,True,181
2025-04-30,34327.868131550415,38.61682696666454,1501.2780840740745,938.9505793756025,411.47066024116,True,181
2025-05-01,34157.01817007485,11445.540978622766,1210.8405,929.6297470761349,449.0579967931528,True,181
2025-05-02,13677.517229004585,10276.068553492476,1200.0,-168.1455512958165,-355.0193150395538,True,181
2025-05-03,13963.374843580586,6291.262553815181,1216.2882212962963,129.6961229491864,6.930290419355515,True,181
2025-05-04,36001.52623244077,7534.892862504834,1257.9569999999999,2492.596633961582,2165.5003689252544,True,181
2025-05-05,36265.950942751064,9457.46235766806,1230.6945,2537.824530572158,2235.7994671547062,True,181
2025-05-06,36296.19773087926,6107.03034790973,1200.0,2452.8094123415494,2026.915789020369,True,181
2025-05-07,36977.2834951101,7882.31644100095,1353.0848999999998,2308.549659079901,1834.1473632254722,True,181
2025-05-08,40447.83924521701,556.4308677666662,2818.377036798941,2170.171949554513,1664.6739532923925,True,181
2025-05-09,16812.921727238263,0.0,3393.7251798941825,39.411738096198114,0.10422407097531677,True,181
2025-05-10,16623.40593217904,0.0,3057.5712358465557,70.28016869853012,46.09592491750692,True,181
2025-05-11,40117.721169558106,185.28330416666628,2788.9066250529117,1878.7376782567867,1297.703317037749,True,181
2025-05-12,40418.5103782819,0.0,2942.1992934920645,1933.2144963204269,1248.542699350727,True,181
2025-05-13,40362.113682523224,0.0,3111.5327657142866,1867.26214676602,1191.6045202727605,True,181
2025-05-14,40528.635817695045,0.0,3043.8886600000005,1886.6240280527352,1189.6819326177927,True,181
2025-05-15,39947.802788952926,0.0,3415.4463309259263,1876.217094625185,1204.3509191644448,True,181
2025-05-16,15907.381674344058,0.0,2601.8885660582023,25.144566535028048,-94.79500042577848,True,181
2025-05-17,16442.474767894088,0.0,2910.587279682538,4.985116470464716,-96.62452621820185,True,181
2025-05-18,39587.17309923604,0.0,3067.576558730156,1700.4445283830532,956.4719904371076,True,181
2025-05-19,38916.629085241155,0.0,2517.934648703707,1672.9997617027873,947.5823631601833,True,181
2025-05-20,38456.85954543278,0.0,2582.882471746033,1692.378350278383,997.357383672867,True,181
2025-05-21,38782.80123383168,0.0,2660.5892935978827,1501.8225626227638,888.7511099386417,True,181
2025-05-22,38041.68104028546,0.0,2976.006320211642,1409.3409645167217,779.5408870921597,True,181
2025-05-23,15695.6367536267,106.84261750000053,3428.1810646825425,-139.9773544010461,-201.32186114547318,True,181
2025-05-24,15849.467060872994,0.0,3367.7652758465615,-106.48966262251278,-220.61297952022008,True,181
2025-05-25,36929.82165557525,84.05219626666586,2605.9599168253976,921.3095538168342,66.73247205094742,True,181
2025-05-26,36514.108364522304,1317.2659649509694,2606.910990101894,903.4481339351207,103.20604742475602,True,181
2025-05-27,37388.6202163174,0.0,2348.3874572486757,891.1839892558897,-27.42736444734564,True,181
2025-05-28,36548.933936896894,0.0,2452.839613518519,821.4024170076425,-189.62601572383605,True,181
2025-05-29,35987.478586845944,120.47257548333367,1778.9350483068781,510.3975299965151,-767.9735811292026,True,181
2025-05-30,14870.722838853932,257.3204261956276,2034.3572821785297,-580.5138548536622,-950.7511385278244,True,181
2025-05-31,14971.204978604674,0.0,2368.960182830685,-576.9085393267026,-943.5502426401607,True,181
